timestep,episode,reward,max_x_pos,flag_get,deaths,frames,time_left
10000,0,-455.0,39,0,0,2005,0
10000,1,-455.0,39,0,0,2005,0
10000,2,-455.0,39,0,0,2005,0
10000,3,-455.0,39,0,0,2005,0
10000,4,-455.0,39,0,0,2005,0
20000,0,398.0,466,0,0,54,390
20000,1,398.0,466,0,0,54,390
20000,2,398.0,466,0,0,54,390
20000,3,398.0,466,0,0,54,390
20000,4,398.0,466,0,0,54,390
30000,0,209.0,323,0,0,294,342
30000,1,209.0,323,0,0,294,342
30000,2,209.0,323,0,0,294,342
30000,3,209.0,323,0,0,294,342
30000,4,209.0,323,0,0,294,342
40000,0,408.0,476,0,0,54,390
40000,1,408.0,476,0,0,54,390
40000,2,408.0,476,0,0,54,390
40000,3,408.0,476,0,0,54,390
40000,4,408.0,476,0,0,54,390
50000,0,397.0,465,0,0,52,390
50000,1,397.0,465,0,0,52,390
50000,2,397.0,465,0,0,52,390
50000,3,397.0,465,0,0,52,390
50000,4,397.0,465,0,0,52,390
60000,0,342.0,426,0,0,133,374
60000,1,342.0,426,0,0,133,374
60000,2,342.0,426,0,0,133,374
60000,3,342.0,426,0,0,133,374
60000,4,342.0,426,0,0,133,374
70000,0,399.0,466,0,0,48,391
70000,1,399.0,466,0,0,48,391
70000,2,399.0,466,0,0,48,391
70000,3,399.0,466,0,0,48,391
70000,4,399.0,466,0,0,48,391
80000,0,467.0,532,0,0,53,390
80000,1,467.0,532,0,0,53,390
80000,2,467.0,532,0,0,53,390
80000,3,467.0,532,0,0,53,390
80000,4,467.0,532,0,0,53,390
90000,0,226.0,323,0,0,209,359
90000,1,226.0,323,0,0,209,359
90000,2,226.0,323,0,0,209,359
90000,3,226.0,323,0,0,209,359
90000,4,226.0,323,0,0,209,359
100000,0,226.0,322,0,0,209,359
100000,1,226.0,322,0,0,209,359
100000,2,226.0,322,0,0,209,359
100000,3,226.0,322,0,0,209,359
100000,4,226.0,322,0,0,209,359
110000,0,1765.0,1854,0,0,163,368
110000,1,1765.0,1854,0,0,163,368
110000,2,1765.0,1854,0,0,163,368
110000,3,1765.0,1854,0,0,163,368
110000,4,1765.0,1854,0,0,163,368
120000,0,323.0,401,0,0,103,380
120000,1,323.0,401,0,0,103,380
120000,2,323.0,401,0,0,103,380
120000,3,323.0,401,0,0,103,380
