timestep,episode,reward,max_x_pos,flag_get,deaths,frames,time_left
10000,0,-30.0,40,0,0,80,385
10000,1,-30.0,40,0,0,80,385
10000,2,-30.0,40,0,0,80,385
10000,3,-30.0,40,0,0,80,385
10000,4,-30.0,40,0,0,80,385
20000,0,128.0,190,0,0,21,396
20000,1,128.0,190,0,0,21,396
20000,2,128.0,190,0,0,21,396
20000,3,128.0,190,0,0,21,396
20000,4,128.0,190,0,0,21,396
30000,0,814.0,899,0,0,137,373
30000,1,814.0,899,0,0,137,373
30000,2,814.0,899,0,0,137,373
30000,3,814.0,899,0,0,137,373
30000,4,814.0,899,0,0,137,373
40000,0,137.0,198,0,0,19,397
40000,1,137.0,198,0,0,19,397
40000,2,137.0,198,0,0,19,397
40000,3,137.0,198,0,0,19,397
40000,4,137.0,198,0,0,19,397
50000,0,137.0,198,0,0,19,397
50000,1,137.0,198,0,0,19,397
50000,2,137.0,198,0,0,19,397
50000,3,137.0,198,0,0,19,397
50000,4,137.0,198,0,0,19,397
60000,0,137.0,198,0,0,19,397
60000,1,137.0,198,0,0,19,397
60000,2,137.0,198,0,0,19,397
60000,3,137.0,198,0,0,19,397
60000,4,137.0,198,0,0,19,397
70000,0,136.0,197,0,0,19,397
70000,1,136.0,197,0,0,19,397
70000,2,136.0,197,0,0,19,397
70000,3,136.0,197,0,0,19,397
70000,4,136.0,197,0,0,19,397
80000,0,137.0,198,0,0,19,397
80000,1,137.0,198,0,0,19,397
80000,2,137.0,198,0,0,19,397
80000,3,137.0,198,0,0,19,397
80000,4,137.0,198,0,0,19,397
90000,0,136.0,197,0,0,19,397
90000,1,136.0,197,0,0,19,397
90000,2,136.0,197,0,0,19,397
90000,3,136.0,197,0,0,19,397
90000,4,136.0,197,0,0,19,397
100000,0,137.0,198,0,0,19,397
100000,1,137.0,198,0,0,19,397
100000,2,137.0,198,0,0,19,397
100000,3,137.0,198,0,0,19,397
100000,4,137.0,198,0,0,19,397
110000,0,133.0,193,0,0,19,397
110000,1,133.0,193,0,0,19,397
110000,2,133.0,193,0,0,19,397
110000,3,133.0,193,0,0,19,397
110000,4,133.0,193,0,0,19,397
120000,0,808.0,890,0,0,128,375
120000,1,808.0,890,0,0,128,375
120000,2,808.0,890,0,0,128,375
120000,3,808.0,890,0,0,128,375
120000,4,808.0,890,0,0,128,375
130000,0,523.0,978,0,0,2005,0
130000,1,523.0,978,0,0,2005,0
130000,2,523.0,978,0,0,2005,0
130000,3,523.0,978,0,0,2005,0
130000,4,523.0,978,0,0,2005,0
140000,0,801.0,885,0,0,131,374
140000,1,801.0,885,0,0,131,374
140000,2,801.0,885,0,0,131,374
140000,3,801.0,885,0,0,131,374
140000,4,801.0,885,0,0,131,374
150000,0,829.0,908,0,0,110,379
150000,1,829.0,908,0,0,110,379
150000,2,829.0,908,0,0,110,379
150000,3,829.0,908,0,0,110,379
150000,4,829.0,908,0,0,110,379
160000,0,-197.0,258,0,0,2005,0
160000,1,-197.0,258,0,0,2005,0
160000,2,-197.0,258,0,0,2005,0
160000,3,-197.0,258,0,0,2005,0
160000,4,-197.0,258,0,0,2005,0
170000,0,414.0,482,0,0,69,387
170000,1,414.0,482,0,0,69,387
170000,2,414.0,482,0,0,69,387
170000,3,414.0,482,0,0,69,387
170000,4,414.0,482,0,0,69,387
180000,0,815.0,900,0,0,140,373
180000,1,815.0,900,0,0,140,373
180000,2,815.0,900,0,0,140,373
180000,3,815.0,900,0,0,140,373
180000,4,815.0,900,0,0,140,373
190000,0,27.0,482,0,0,2005,0
190000,1,27.0,482,0,0,2005,0
190000,2,27.0,482,0,0,2005,0
190000,3,27.0,482,0,0,2005,0
190000,4,27.0,482,0,0,2005,0
200000,0,-165.0,290,0,0,2005,0
200000,1,-165.0,290,0,0,2005,0
200000,2,-165.0,290,0,0,2005,0
200000,3,-165.0,290,0,0,2005,0
200000,4,-165.0,290,0,0,2005,0
210000,0,822.0,905,0,0,129,375
210000,1,822.0,905,0,0,129,375
210000,2,822.0,905,0,0,129,375
210000,3,822.0,905,0,0,129,375
210000,4,822.0,905,0,0,129,375
220000,0,-101.0,354,0,0,2005,0
220000,1,-101.0,354,0,0,2005,0
220000,2,-101.0,354,0,0,2005,0
220000,3,-101.0,354,0,0,2005,0
220000,4,-101.0,354,0,0,2005,0
230000,0,821.0,898,0,0,100,381
230000,1,821.0,898,0,0,100,381
230000,2,821.0,898,0,0,100,381
230000,3,821.0,898,0,0,100,381
230000,4,821.0,898,0,0,100,381
240000,0,819.0,895,0,0,93,382
240000,1,819.0,895,0,0,93,382
240000,2,819.0,895,0,0,93,382
240000,3,819.0,895,0,0,93,382
240000,4,819.0,895,0,0,93,382
250000,0,397.0,469,0,0,79,385
250000,1,397.0,469,0,0,79,385
250000,2,397.0,469,0,0,79,385
250000,3,397.0,469,0,0,79,385
250000,4,397.0,469,0,0,79,385
260000,0,796.0,897,0,0,220,357
260000,1,796.0,897,0,0,220,357
260000,2,796.0,897,0,0,220,357
260000,3,796.0,897,0,0,220,357
260000,4,796.0,897,0,0,220,357
270000,0,832.0,907,0,0,86,383
270000,1,832.0,907,0,0,86,383
270000,2,832.0,907,0,0,86,383
270000,3,832.0,907,0,0,86,383
270000,4,832.0,907,0,0,86,383
280000,0,59.0,516,0,0,2005,0
280000,1,59.0,516,0,0,2005,0
280000,2,59.0,516,0,0,2005,0
280000,3,59.0,516,0,0,2005,0
280000,4,59.0,516,0,0,2005,0
290000,0,827.0,907,0,0,116,377
290000,1,827.0,907,0,0,116,377
290000,2,827.0,907,0,0,116,377
290000,3,827.0,907,0,0,116,377
290000,4,827.0,907,0,0,116,377
300000,0,817.0,895,0,0,110,379
300000,1,817.0,895,0,0,110,379
300000,2,817.0,895,0,0,110,379
300000,3,817.0,895,0,0,110,379
300000,4,817.0,895,0,0,110,379
310000,0,862.0,942,0,0,118,377
310000,1,862.0,942,0,0,118,377
310000,2,862.0,942,0,0,118,377
310000,3,862.0,942,0,0,118,377
310000,4,862.0,942,0,0,118,377
320000,0,890.0,967,0,0,108,379
320000,1,890.0,967,0,0,108,379
320000,2,890.0,967,0,0,108,379
320000,3,890.0,967,0,0,108,379
320000,4,890.0,967,0,0,108,379
330000,0,523.0,978,0,0,2005,0
330000,1,523.0,978,0,0,2005,0
330000,2,523.0,978,0,0,2005,0
330000,3,523.0,978,0,0,2005,0
330000,4,523.0,978,0,0,2005,0
340000,0,389.0,461,0,0,76,385
340000,1,389.0,461,0,0,76,385
340000,2,389.0,461,0,0,76,385
340000,3,389.0,461,0,0,76,385
340000,4,389.0,461,0,0,76,385
350000,0,-101.0,354,0,0,2005,0
350000,1,-101.0,354,0,0,2005,0
350000,2,-101.0,354,0,0,2005,0
350000,3,-101.0,354,0,0,2005,0
350000,4,-101.0,354,0,0,2005,0
360000,0,809.0,886,0,0,102,380
360000,1,809.0,886,0,0,102,380
360000,2,809.0,886,0,0,102,380
360000,3,809.0,886,0,0,102,380
360000,4,809.0,886,0,0,102,380
370000,0,820.0,903,0,0,132,374
370000,1,820.0,903,0,0,132,374
370000,2,820.0,903,0,0,132,374
370000,3,820.0,903,0,0,132,374
370000,4,820.0,903,0,0,132,374
380000,0,817.0,890,0,0,85,384
380000,1,817.0,890,0,0,85,384
380000,2,817.0,890,0,0,85,384
380000,3,817.0,890,0,0,85,384
380000,4,817.0,890,0,0,85,384
390000,0,-101.0,356,0,0,2005,0
390000,1,-101.0,356,0,0,2005,0
390000,2,-101.0,356,0,0,2005,0
390000,3,-101.0,356,0,0,2005,0
390000,4,-101.0,356,0,0,2005,0
400000,0,1208.0,1308,0,0,217,357
400000,1,1208.0,1308,0,0,217,357
400000,2,1208.0,1308,0,0,217,357
400000,3,1208.0,1308,0,0,217,357
400000,4,1208.0,1308,0,0,217,357
