timestep,episode,reward,max_x_pos,flag_get,deaths,frames,time_left
10000,0,-58.0,39,0,0,90,383
10000,1,-58.0,39,0,0,90,383
10000,2,-58.0,39,0,0,90,383
10000,3,-58.0,39,0,0,90,383
10000,4,-58.0,39,0,0,90,383
20000,0,120.0,180,0,0,24,396
20000,1,120.0,180,0,0,24,396
20000,2,120.0,180,0,0,24,396
20000,3,120.0,180,0,0,24,396
20000,4,120.0,180,0,0,24,396
30000,0,-197.0,258,0,0,2005,0
30000,1,-197.0,258,0,0,2005,0
30000,2,-197.0,258,0,0,2005,0
30000,3,-197.0,258,0,0,2005,0
30000,4,-197.0,258,0,0,2005,0
40000,0,133.0,194,0,0,19,397
40000,1,133.0,194,0,0,19,397
40000,2,133.0,194,0,0,19,397
40000,3,133.0,194,0,0,19,397
40000,4,133.0,194,0,0,19,397
50000,0,137.0,198,0,0,19,397
50000,1,137.0,198,0,0,19,397
50000,2,137.0,198,0,0,19,397
50000,3,137.0,198,0,0,19,397
50000,4,137.0,198,0,0,19,397
60000,0,137.0,198,0,0,19,397
60000,1,137.0,198,0,0,19,397
60000,2,137.0,198,0,0,19,397
60000,3,137.0,198,0,0,19,397
60000,4,137.0,198,0,0,19,397
70000,0,137.0,198,0,0,19,397
70000,1,137.0,198,0,0,19,397
70000,2,137.0,198,0,0,19,397
70000,3,137.0,198,0,0,19,397
70000,4,137.0,198,0,0,19,397
80000,0,137.0,198,0,0,19,397
80000,1,137.0,198,0,0,19,397
80000,2,137.0,198,0,0,19,397
80000,3,137.0,198,0,0,19,397
80000,4,137.0,198,0,0,19,397
90000,0,-133.0,322,0,0,2005,0
90000,1,-133.0,322,0,0,2005,0
90000,2,-133.0,322,0,0,2005,0
90000,3,-133.0,322,0,0,2005,0
90000,4,-133.0,322,0,0,2005,0
100000,0,137.0,198,0,0,19,397
100000,1,137.0,198,0,0,19,397
100000,2,137.0,198,0,0,19,397
100000,3,137.0,198,0,0,19,397
100000,4,137.0,198,0,0,19,397
110000,0,133.0,194,0,0,19,397
110000,1,133.0,194,0,0,19,397
110000,2,133.0,194,0,0,19,397
110000,3,133.0,194,0,0,19,397
110000,4,133.0,194,0,0,19,397
120000,0,125.0,187,0,0,21,396
120000,1,125.0,187,0,0,21,396
120000,2,125.0,187,0,0,21,396
120000,3,125.0,187,0,0,21,396
120000,4,125.0,187,0,0,21,396
130000,0,806.0,895,0,0,160,369
130000,1,806.0,895,0,0,160,369
130000,2,806.0,895,0,0,160,369
130000,3,806.0,895,0,0,160,369
130000,4,806.0,895,0,0,160,369
140000,0,-101.0,354,0,0,2005,0
140000,1,-101.0,354,0,0,2005,0
140000,2,-101.0,354,0,0,2005,0
140000,3,-101.0,354,0,0,2005,0
140000,4,-101.0,354,0,0,2005,0
150000,0,523.0,978,0,0,2005,0
150000,1,523.0,978,0,0,2005,0
150000,2,523.0,978,0,0,2005,0
150000,3,523.0,978,0,0,2005,0
150000,4,523.0,978,0,0,2005,0
160000,0,127.0,188,0,0,22,396
160000,1,127.0,188,0,0,22,396
160000,2,127.0,188,0,0,22,396
160000,3,127.0,188,0,0,22,396
160000,4,127.0,188,0,0,22,396
170000,0,815.0,893,0,0,109,379
170000,1,815.0,893,0,0,109,379
170000,2,815.0,893,0,0,109,379
170000,3,815.0,893,0,0,109,379
170000,4,815.0,893,0,0,109,379
180000,0,-101.0,354,0,0,2005,0
180000,1,-101.0,354,0,0,2005,0
180000,2,-101.0,354,0,0,2005,0
180000,3,-101.0,354,0,0,2005,0
180000,4,-101.0,354,0,0,2005,0
190000,0,-101.0,355,0,0,2005,0
190000,1,-101.0,355,0,0,2005,0
190000,2,-101.0,355,0,0,2005,0
190000,3,-101.0,355,0,0,2005,0
190000,4,-101.0,355,0,0,2005,0
200000,0,111.0,173,0,0,28,395
200000,1,111.0,173,0,0,28,395
200000,2,111.0,173,0,0,28,395
200000,3,111.0,173,0,0,28,395
200000,4,111.0,173,0,0,28,395
210000,0,826.0,908,0,0,129,375
210000,1,826.0,908,0,0,129,375
210000,2,826.0,908,0,0,129,375
210000,3,826.0,908,0,0,129,375
210000,4,826.0,908,0,0,129,375
220000,0,115.0,177,0,0,26,395
220000,1,115.0,177,0,0,26,395
220000,2,115.0,177,0,0,26,395
220000,3,115.0,177,0,0,26,395
220000,4,115.0,177,0,0,26,395
230000,0,4.0,72,0,0,67,387
230000,1,4.0,72,0,0,67,387
230000,2,4.0,72,0,0,67,387
230000,3,4.0,72,0,0,67,387
230000,4,4.0,72,0,0,67,387
240000,0,-165.0,291,0,0,2005,0
240000,1,-165.0,291,0,0,2005,0
240000,2,-165.0,291,0,0,2005,0
240000,3,-165.0,291,0,0,2005,0
240000,4,-165.0,291,0,0,2005,0
250000,0,768.0,904,0,0,397,321
250000,1,768.0,904,0,0,397,321
250000,2,768.0,904,0,0,397,321
250000,3,768.0,904,0,0,397,321
250000,4,768.0,904,0,0,397,321
260000,0,130.0,190,0,0,21,396
260000,1,130.0,190,0,0,21,396
260000,2,130.0,190,0,0,21,396
260000,3,130.0,190,0,0,21,396
260000,4,130.0,190,0,0,21,396
270000,0,-101.0,356,0,0,2005,0
270000,1,-101.0,356,0,0,2005,0
270000,2,-101.0,356,0,0,2005,0
270000,3,-101.0,356,0,0,2005,0
270000,4,-101.0,356,0,0,2005,0
280000,0,816.0,909,0,0,178,365
280000,1,816.0,909,0,0,178,365
280000,2,816.0,909,0,0,178,365
280000,3,816.0,909,0,0,178,365
280000,4,816.0,909,0,0,178,365
290000,0,127.0,189,0,0,23,396
290000,1,127.0,189,0,0,23,396
290000,2,127.0,189,0,0,23,396
290000,3,127.0,189,0,0,23,396
290000,4,127.0,189,0,0,23,396
300000,0,808.0,904,0,0,191,362
300000,1,808.0,904,0,0,191,362
300000,2,808.0,904,0,0,191,362
300000,3,808.0,904,0,0,191,362
300000,4,808.0,904,0,0,191,362
310000,0,221.0,482,0,0,1031,194
310000,1,221.0,482,0,0,1031,194
310000,2,221.0,482,0,0,1031,194
310000,3,221.0,482,0,0,1031,194
310000,4,221.0,482,0,0,1031,194
320000,0,-133.0,322,0,0,2005,0
320000,1,-133.0,322,0,0,2005,0
320000,2,-133.0,322,0,0,2005,0
320000,3,-133.0,322,0,0,2005,0
320000,4,-133.0,322,0,0,2005,0
330000,0,599.0,676,0,0,100,381
330000,1,599.0,676,0,0,100,381
330000,2,599.0,676,0,0,100,381
330000,3,599.0,676,0,0,100,381
330000,4,599.0,676,0,0,100,381
340000,0,413.0,484,0,0,71,386
340000,1,413.0,484,0,0,71,386
340000,2,413.0,484,0,0,71,386
340000,3,413.0,484,0,0,71,386
340000,4,413.0,484,0,0,71,386
350000,0,135.0,196,0,0,19,397
350000,1,135.0,196,0,0,19,397
350000,2,135.0,196,0,0,19,397
350000,3,135.0,196,0,0,19,397
350000,4,135.0,196,0,0,19,397
360000,0,116.0,178,0,0,25,396
360000,1,116.0,178,0,0,25,396
360000,2,116.0,178,0,0,25,396
360000,3,116.0,178,0,0,25,396
360000,4,116.0,178,0,0,25,396
370000,0,120.0,182,0,0,25,396
370000,1,120.0,182,0,0,25,396
370000,2,120.0,182,0,0,25,396
370000,3,120.0,182,0,0,25,396
370000,4,120.0,182,0,0,25,396
380000,0,41.0,106,0,0,53,390
380000,1,41.0,106,0,0,53,390
380000,2,41.0,106,0,0,53,390
380000,3,41.0,106,0,0,53,390
380000,4,41.0,106,0,0,53,390
390000,0,134.0,195,0,0,20,397
390000,1,134.0,195,0,0,20,397
390000,2,134.0,195,0,0,20,397
390000,3,134.0,195,0,0,20,397
390000,4,134.0,195,0,0,20,397
400000,0,-101.0,354,0,0,2005,0
400000,1,-101.0,354,0,0,2005,0
400000,2,-101.0,354,0,0,2005,0
400000,3,-101.0,354,0,0,2005,0
400000,4,-101.0,354,0,0,2005,0
410000,0,134.0,195,0,0,19,397
410000,1,134.0,195,0,0,19,397
410000,2,134.0,195,0,0,19,397
410000,3,134.0,195,0,0,19,397
410000,4,134.0,195,0,0,19,397
420000,0,129.0,189,0,0,20,397
420000,1,129.0,189,0,0,20,397
420000,2,129.0,189,0,0,20,397
420000,3,129.0,189,0,0,20,397
420000,4,129.0,189,0,0,20,397
430000,0,-133.0,323,0,0,2005,0
430000,1,-133.0,323,0,0,2005,0
430000,2,-133.0,323,0,0,2005,0
430000,3,-133.0,323,0,0,2005,0
430000,4,-133.0,323,0,0,2005,0
440000,0,860.0,936,0,0,100,381
440000,1,860.0,936,0,0,100,381
440000,2,860.0,936,0,0,100,381
440000,3,860.0,936,0,0,100,381
440000,4,860.0,936,0,0,100,381
450000,0,821.0,902,0,0,125,376
450000,1,821.0,902,0,0,125,376
450000,2,821.0,902,0,0,125,376
450000,3,821.0,902,0,0,125,376
450000,4,821.0,902,0,0,125,376
460000,0,134.0,195,0,0,19,397
460000,1,134.0,195,0,0,19,397
460000,2,134.0,195,0,0,19,397
460000,3,134.0,195,0,0,19,397
460000,4,134.0,195,0,0,19,397
470000,0,820.0,903,0,0,135,374
470000,1,820.0,903,0,0,135,374
470000,2,820.0,903,0,0,135,374
470000,3,820.0,903,0,0,135,374
470000,4,820.0,903,0,0,135,374
480000,0,-133.0,322,0,0,2005,0
480000,1,-133.0,322,0,0,2005,0
480000,2,-133.0,322,0,0,2005,0
480000,3,-133.0,322,0,0,2005,0
480000,4,-133.0,322,0,0,2005,0
490000,0,134.0,195,0,0,20,397
490000,1,134.0,195,0,0,20,397
490000,2,134.0,195,0,0,20,397
490000,3,134.0,195,0,0,20,397
490000,4,134.0,195,0,0,20,397
500000,0,-169.0,291,0,0,2005,0
500000,1,-169.0,291,0,0,2005,0
500000,2,-169.0,291,0,0,2005,0
