timestep,episode,reward,max_x_pos,flag_get,deaths,frames,time_left
5000,0,-30.0,40,0,0,80,385
5000,1,-30.0,40,0,0,80,385
5000,2,-30.0,40,0,0,80,385
5000,3,-30.0,40,0,0,80,385
5000,4,-30.0,40,0,0,80,385
10000,0,-30.0,40,0,0,80,385
10000,1,-30.0,40,0,0,80,385
10000,2,-30.0,40,0,0,80,385
10000,3,-30.0,40,0,0,80,385
10000,4,-30.0,40,0,0,80,385
15000,0,-30.0,40,0,0,80,385
15000,1,-30.0,40,0,0,80,385
15000,2,-30.0,40,0,0,80,385
15000,3,-30.0,40,0,0,80,385
15000,4,-30.0,40,0,0,80,385
20000,0,-30.0,40,0,0,80,385
20000,1,-30.0,40,0,0,80,385
20000,2,-30.0,40,0,0,80,385
20000,3,-30.0,40,0,0,80,385
20000,4,-30.0,40,0,0,80,385
25000,0,-30.0,40,0,0,80,385
25000,1,-30.0,40,0,0,80,385
25000,2,-30.0,40,0,0,80,385
25000,3,-30.0,40,0,0,80,385
25000,4,-30.0,40,0,0,80,385
30000,0,120.0,180,0,0,24,396
30000,1,120.0,180,0,0,24,396
30000,2,120.0,180,0,0,24,396
30000,3,120.0,180,0,0,24,396
30000,4,120.0,180,0,0,24,396
35000,0,137.0,198,0,0,19,397
35000,1,137.0,198,0,0,19,397
35000,2,137.0,198,0,0,19,397
35000,3,137.0,198,0,0,19,397
35000,4,137.0,198,0,0,19,397
40000,0,137.0,198,0,0,19,397
40000,1,137.0,198,0,0,19,397
40000,2,137.0,198,0,0,19,397
40000,3,137.0,198,0,0,19,397
40000,4,137.0,198,0,0,19,397
45000,0,-30.0,40,0,0,80,385
45000,1,-30.0,40,0,0,80,385
45000,2,-30.0,40,0,0,80,385
45000,3,-30.0,40,0,0,80,385
45000,4,-30.0,40,0,0,80,385
50000,0,-30.0,40,0,0,80,385
50000,1,-30.0,40,0,0,80,385
50000,2,-30.0,40,0,0,80,385
50000,3,-30.0,40,0,0,80,385
50000,4,-30.0,40,0,0,80,385
55000,0,137.0,198,0,0,19,397
55000,1,137.0,198,0,0,19,397
55000,2,137.0,198,0,0,19,397
55000,3,137.0,198,0,0,19,397
55000,4,137.0,198,0,0,19,397
60000,0,137.0,198,0,0,19,397
60000,1,137.0,198,0,0,19,397
60000,2,137.0,198,0,0,19,397
60000,3,137.0,198,0,0,19,397
60000,4,137.0,198,0,0,19,397
65000,0,-30.0,40,0,0,80,385
65000,1,-30.0,40,0,0,80,385
65000,2,-30.0,40,0,0,80,385
65000,3,-30.0,40,0,0,80,385
65000,4,-30.0,40,0,0,80,385
70000,0,-30.0,40,0,0,80,385
70000,1,-30.0,40,0,0,80,385
70000,2,-30.0,40,0,0,80,385
70000,3,-30.0,40,0,0,80,385
70000,4,-30.0,40,0,0,80,385
75000,0,-30.0,40,0,0,80,385
75000,1,-30.0,40,0,0,80,385
75000,2,-30.0,40,0,0,80,385
75000,3,-30.0,40,0,0,80,385
75000,4,-30.0,40,0,0,80,385
80000,0,120.0,180,0,0,24,396
80000,1,120.0,180,0,0,24,396
80000,2,120.0,180,0,0,24,396
80000,3,120.0,180,0,0,24,396
80000,4,120.0,180,0,0,24,396
85000,0,137.0,198,0,0,19,397
85000,1,137.0,198,0,0,19,397
85000,2,137.0,198,0,0,19,397
85000,3,137.0,198,0,0,19,397
