timestep,episode,reward,max_x_pos,flag_get,deaths,frames,time_left
10000,0,137.0,198,0,0,19,397
10000,1,137.0,198,0,0,19,397
10000,2,137.0,198,0,0,19,397
10000,3,137.0,198,0,0,19,397
10000,4,137.0,198,0,0,19,397
20000,0,120.0,180,0,0,24,396
20000,1,120.0,180,0,0,24,396
20000,2,120.0,180,0,0,24,396
20000,3,120.0,180,0,0,24,396
20000,4,120.0,180,0,0,24,396
30000,0,120.0,180,0,0,24,396
30000,1,120.0,180,0,0,24,396
30000,2,120.0,180,0,0,24,396
30000,3,120.0,180,0,0,24,396
30000,4,120.0,180,0,0,24,396
40000,0,120.0,180,0,0,24,396
40000,1,120.0,180,0,0,24,396
40000,2,120.0,180,0,0,24,396
40000,3,120.0,180,0,0,24,396
40000,4,120.0,180,0,0,24,396
50000,0,137.0,198,0,0,19,397
50000,1,137.0,198,0,0,19,397
50000,2,137.0,198,0,0,19,397
50000,3,137.0,198,0,0,19,397
50000,4,137.0,198,0,0,19,397
60000,0,137.0,198,0,0,19,397
60000,1,137.0,198,0,0,19,397
60000,2,137.0,198,0,0,19,397
60000,3,137.0,198,0,0,19,397
60000,4,137.0,198,0,0,19,397
70000,0,137.0,198,0,0,19,397
70000,1,137.0,198,0,0,19,397
70000,2,137.0,198,0,0,19,397
70000,3,137.0,198,0,0,19,397
70000,4,137.0,198,0,0,19,397
80000,0,120.0,180,0,0,24,396
80000,1,120.0,180,0,0,24,396
80000,2,120.0,180,0,0,24,396
80000,3,120.0,180,0,0,24,396
80000,4,120.0,180,0,0,24,396
90000,0,120.0,180,0,0,24,396
90000,1,120.0,180,0,0,24,396
90000,2,120.0,180,0,0,24,396
90000,3,120.0,180,0,0,24,396
90000,4,120.0,180,0,0,24,396
100000,0,120.0,180,0,0,24,396
100000,1,120.0,180,0,0,24,396
100000,2,120.0,180,0,0,24,396
100000,3,120.0,180,0,0,24,396
100000,4,120.0,180,0,0,24,396
110000,0,133.0,194,0,0,26,395
110000,1,133.0,194,0,0,26,395
110000,2,133.0,194,0,0,26,395
110000,3,133.0,194,0,0,26,395
110000,4,133.0,194,0,0,26,395
120000,0,-197.0,258,0,0,2005,0
120000,1,-197.0,258,0,0,2005,0
120000,2,-197.0,258,0,0,2005,0
120000,3,-197.0,258,0,0,2005,0
120000,4,-197.0,258,0,0,2005,0
130000,0,-133.0,323,0,0,2005,0
